time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction
40960,94.45961163,278,75.83,146,20,190,0.023901086,0.27619451805949213,0.2,0.8702946901321411,0.010965146124362946,-4.648603510856629,-0.06646424996142741,0.7686583995819092,0.0003,0.24453125
43008,107.83699855,284,80.62,151,21,200,0.025269859,0.2444782440084964,0.2,0.8119224309921265,0.031241953372955322,-4.58818726837635,-0.06794605424656766,0.7567757964134216,0.0003,0.260498046875
45056,126.66960818,290,90.62,155,22,210,0.02673084,0.22761876694858074,0.2,0.8119350075721741,-0.0010307878255844116,-4.533630172908306,-0.07089297814527526,0.7467413544654846,0.0003,0.281396484375
47104,142.74490882,295,99.18,159,23,220,0.02461474,0.19483866735827177,0.2,0.7550582885742188,-0.03375508636236191,-4.473493736982346,-0.06793773527606391,0.7349221706390381,0.0003,0.264306640625
49152,159.76164065,300,108.97,163,24,230,0.027163796,0.19716068606358023,0.2,0.7542935609817505,-0.05036868900060654,-4.415962843596935,-0.07225243814609712,0.7267153263092041,0.0003,0.28525390625
51200,182.15689617,305,116.19,167,25,240,0.026765546,0.16567959582898767,0.2,0.7992219924926758,-0.04401170462369919,-4.355860882997513,-0.06958919261669508,0.7144500017166138,0.0003,0.27578125
53248,203.27965732,310,124.01,171,26,250,0.027819496,0.12522125934483483,0.2,0.6202421188354492,-0.04906735196709633,-4.297627069056034,-0.07275897817162331,0.7047370672225952,0.0003,0.31201171875
55296,223.24043971,315,132.53,175,27,260,0.02743163,0.06840810846188106,0.2,0.7282302975654602,-0.09045074135065079,-4.233464880287647,-0.07022954597487115,0.6922252774238586,0.0003,0.278076171875
57344,236.49247143999997,319,136.03,179,28,270,0.0273365,0.05707720455829986,0.2,0.7775829434394836,-0.07965020090341568,-4.17592903226614,-0.06961279995157384,0.6825835704803467,0.0003,0.2728515625
59392,249.27265945,323,138.6,183,29,280,0.025869787,0.03228812547167763,0.2,0.8381381630897522,-0.07518409192562103,-4.119033662974834,-0.06985331483592745,0.6744040250778198,0.0003,0.272705078125
61440,254.19033518,327,135.54,187,30,290,0.026068218,0.02680930767673999,0.2,0.8231878280639648,-0.0821160227060318,-4.080482479929924,-0.07009607622749173,0.6690486073493958,0.0003,0.27431640625
63488,262.92350251000005,331,136.39,191,31,300,0.026672045,0.017652048741001635,0.2,0.9096081256866455,-0.07482409477233887,-4.043526624143124,-0.06760407984256744,0.6612647771835327,0.0003,0.265087890625
65536,267.11336033,335,136.78,195,32,310,0.025956389,0.01868043869326357,0.2,0.8697807192802429,-0.11812597513198853,-4.001540920883417,-0.06764842380653135,0.6546809077262878,0.0003,0.265771484375
67584,268.495921,338,136.34,199,33,320,0.026077857,0.013625977018091363,0.2,0.9027604460716248,-0.10823545604944229,-3.9688432633876802,-0.07066121639218181,0.6507834792137146,0.0003,0.281787109375
69632,270.64367653,339,136.63,204,34,330,0.026548412,0.010733241977868601,0.2,0.9228910207748413,-0.10750559717416763,-3.9467136658728124,-0.06981870904564857,0.6473236680030823,0.0003,0.268359375
71680,270.93104635000003,341,135.96,210,35,340,0.026369017,0.009528727718861773,0.2,0.9244577884674072,-0.10539963841438293,-3.9220165960490703,-0.07146862815134228,0.642440915107727,0.0003,0.279541015625
73728,273.83693854999996,340,136.97,216,36,350,0.02933393,0.00766861811716808,0.2,0.9346712827682495,-0.09852420538663864,-3.8931991823017595,-0.07352733171719592,0.6374861001968384,0.0003,0.29794921875
75776,279.16453927,333,138.53,227,37,360,0.027615057,0.006913949770387262,0.2,0.9328711628913879,-0.12079726904630661,-3.8606610275804996,-0.07259525236149784,0.6323866248130798,0.0003,0.29765625
77824,278.94915417,330,137.85,235,38,370,0.02663007,0.005959202160738641,0.2,0.9411302804946899,-0.10533171147108078,-3.8359876170754434,-0.06977446928649442,0.6297317743301392,0.0003,0.27578125
79872,280.62708373000004,328,138.35,243,39,380,0.029263007,0.0049303191677609,0.2,0.9475191831588745,-0.08602812886238098,-3.800718131661415,-0.07343602586261114,0.6222238540649414,0.0003,0.294287109375
81920,281.08229546,329,138.39,248,40,390,0.029299743,0.004282023187261075,0.2,0.9502259492874146,-0.09763290733098984,-3.761357039958239,-0.0726276748930104,0.6172341108322144,0.0003,0.2880859375
83968,283.21312659,331,138.81,253,41,400,0.030883642,0.0035200931895815303,0.2,0.9556413292884827,-0.11716652661561966,-3.7370818354189397,-0.07348650926433038,0.6142505407333374,0.0003,0.29619140625
86016,283.27271073,329,138.29,261,42,410,0.034098268,0.0036499242327408866,0.2,0.9552645087242126,-0.1336800754070282,-3.711414147913456,-0.07606213609979022,0.6086597442626953,0.0003,0.32587890625
88064,282.49737031999996,330,137.45,266,43,420,0.02923867,0.0033553722885699246,0.2,0.9612105488777161,-0.12173454463481903,-3.656998723000288,-0.07292927466041874,0.5998212099075317,0.0003,0.295361328125
90112,283.48817828000006,333,137.44,270,44,430,0.031584427,0.0024798405745968923,0.2,0.9694237112998962,-0.12364233285188675,-3.5943458564579487,-0.0771695853502024,0.5892999172210693,0.0003,0.3197265625
92160,285.48910596,336,137.88,273,45,440,0.03372529,0.0024771365209744546,0.2,0.9696589708328247,-0.11693425476551056,-3.5346603848040106,-0.0757099563779775,0.5818251371383667,0.0003,0.3197265625
94208,284.27850737999995,338,136.64,277,46,450,0.031590853,0.0020560960794682613,0.2,0.9757184982299805,-0.10675404965877533,-3.497552875429392,-0.07494270618772134,0.5778518915176392,0.0003,0.322119140625
96256,287.31622473999994,341,137.73,281,47,460,0.03219022,0.0019310759411382606,0.2,0.9768112301826477,-0.12589605152606964,-3.4661008320748805,-0.07582462842401583,0.5728142261505127,0.0003,0.315380859375
98304,288.38220987,343,137.79,285,48,470,0.035396375,0.001886490542528918,0.2,0.9795570969581604,-0.11871940642595291,-3.438767409324646,-0.07712097964249551,0.5694552063941956,0.0003,0.326220703125
100352,292.20001239,346,139.05,289,49,480,0.032863192,0.0016819304639284383,0.2,0.9824272990226746,-0.13251422345638275,-3.4109760522842407,-0.07593746488273609,0.566426694393158,0.0003,0.30029296875
102400,295.92071764,348,140.55,293,50,490,0.033486538,0.0014377366405824432,0.2,0.9866290092468262,-0.11776618659496307,-3.3880570344626904,-0.07777432436123491,0.5613788366317749,0.0003,0.330224609375
104448,297.54897326,351,141.07,297,51,500,0.0363427,0.0014030781634573942,0.2,0.9864495992660522,-0.12360899150371552,-3.3363353081047533,-0.08301272571115988,0.5526465177536011,0.0003,0.3548828125
106496,299.14758660000007,353,141.53,301,52,510,0.037386477,0.0012335137456830126,0.2,0.9878602623939514,-0.10904214531183243,-3.300127214193344,-0.07834035180858337,0.5501989126205444,0.0003,0.33759765625
108544,302.169034,354,142.59,305,53,520,0.03738322,0.0012803157811504206,0.2,0.9888615012168884,-0.10591647028923035,-3.2635441944003105,-0.07748968136147596,0.5438254475593567,0.0003,0.3322265625
110592,303.19643826,356,142.72,309,54,530,0.036875192,0.0012441831422620453,0.2,0.9897992610931396,-0.11202415078878403,-3.2304099440574645,-0.08017391003959347,0.5403176546096802,0.0003,0.34326171875
112640,305.50578670999994,359,143.57,313,55,540,0.039991844,0.0011019551055142073,0.2,0.9906399250030518,-0.11106536537408829,-3.2015625171363356,-0.08312022192112636,0.5362340807914734,0.0003,0.356298828125
114688,307.23714708999995,359,144.15,319,56,550,0.04243159,0.0011940851665713126,0.2,0.9899303317070007,-0.11911950260400772,-3.1612752877175807,-0.08303479594032978,0.5307079553604126,0.0003,0.371044921875
116736,309.73690594,361,145.16,323,57,560,0.047227986,0.0009198259920594864,0.2,0.9925903677940369,-0.12804299592971802,-3.113245798647404,-0.08559697839373256,0.52310711145401,0.0003,0.386474609375
118784,313.37809268999996,363,146.59,326,58,570,0.042226527,0.0009310571453170269,0.2,0.9924885630607605,-0.11753416806459427,-3.0791849166154863,-0.08239320182183292,0.5208988785743713,0.0003,0.36162109375
