#{"t_start": 1763679237.74574, "env_id": "hover-aviary-v0"}
r,l,t
19.908242,12,22.93265
35.159006,29,23.011649
14.665068,9,23.062995
17.919908,11,23.115244
31.386441,20,23.177325
25.630261,16,23.233316
14.922827,9,23.286389
34.468201,58,23.389388
13.160663,8,23.438388
9.856507,6,23.485388
16.552431,10,23.547686
16.242662,10,23.614168
14.935957,9,23.672274
34.210934,22,23.745344
14.871078,9,23.79527
19.702729,12,23.84827
33.522365,36,23.929391
14.617405,9,23.978391
13.154941,8,24.026939
24.277111,15,24.082844
9.945129,6,24.129842
11.506279,7,24.177841
18.099268,11,24.229914
16.46783,10,24.281914
24.354152,15,24.338043
14.944538,9,24.387499
9.873346,6,24.433786
13.025572,8,24.483849
11.521205,7,24.532846
14.84507,9,24.581948
17.739068,11,24.633945
23.026628,14,24.689173
13.036073,8,24.738637
19.298911,12,24.790972
44.829449,31,24.8701
19.423925,12,24.926265
30.613415,42,25.012254
13.199257,8,25.060182
13.181587,8,25.109155
18.021535,11,25.160345
13.194314,8,25.209342
9.968774,6,25.256342
17.883815,11,25.308342
13.322233,8,25.358341
24.524917,15,25.414185
25.868987,16,25.471474
11.486882,7,25.519403
23.804647,15,25.575473
13.018874,8,25.624473
9.950726,6,25.670403
20.893191,13,25.724402
26.975594,17,25.782402
17.903248,11,25.834399
14.892532,9,25.883471
9.826546,6,25.931398
23.110721,14,25.986091
9.853861,6,26.032671
19.238638,12,26.085669
35.281886,23,27.394061
14.858712,9,27.472566
9.985704,6,27.533856
14.661301,9,27.589242
21.880678,13,27.660642
26.783174,17,27.725379
29.580852,18,27.798762
21.180282,13,27.871049
14.632238,9,27.928509
11.502642,7,27.991951
21.215638,13,28.053129
22.346737,14,28.120744
13.113693,8,28.180443
13.027441,8,28.23973
39.777682,36,28.356705
14.946857,9,28.421625
13.092008,8,28.485517
14.970164,9,28.547267
14.711373,9,28.613148
20.557305,13,28.683054
18.048857,11,28.746443
16.348337,10,28.806373
13.181405,8,28.890342
14.954869,9,28.980556
29.51664,19,29.207217
31.843058,21,29.342361
17.839626,11,29.41732
33.537985,23,29.507716
26.329757,16,29.591938
14.599227,9,29.652275
14.567911,9,29.705106
14.900787,9,29.760196
18.087181,11,29.813339
18.017261,11,29.866259
38.872019,23,29.937877
16.43451,10,29.995962
14.733614,9,30.046962
29.872716,18,30.112115
16.431011,10,30.163987
28.455536,18,30.224892
9.875417,6,30.272979
13.013993,8,30.325553
9.800063,6,30.378684
13.160028,8,30.433684
19.644222,12,30.512185
25.105707,15,30.608463
9.832987,6,30.667569
27.885625,17,30.744585
21.605639,13,30.81369
9.884634,6,30.880255
9.817719,6,30.933238
32.540999,22,31.004858
17.844042,11,31.058787
14.718126,9,31.111832
14.564905,9,31.171777
22.962082,14,31.33623
9.922579,6,31.385736
24.266,15,31.443443
28.038441,17,31.501441
9.816729,6,31.550455
16.442313,10,31.678679
11.575638,7,31.746655
19.664587,12,31.818484
36.329992,23,31.901951
25.988228,16,31.968786
18.368969,11,32.032022
37.130179,23,32.109955
13.213,8,32.166525
13.117876,8,32.227029
16.313763,10,32.279337
17.69913,11,32.331309
34.745655,56,32.43339
14.577343,9,32.483387
14.599476,9,32.533679
11.59184,7,32.580908
16.415,10,32.632483
22.603284,14,32.687692
26.786987,17,32.746561
20.90138,13,32.800432
24.408461,15,32.856864
21.332898,13,32.909794
21.051322,13,32.963864
19.695136,12,33.016865
41.805862,33,33.091793
14.820185,9,33.149864
16.45598,10,33.201822
12.963667,8,33.255098
17.979139,11,33.306178
18.35521,11,33.359169
20.469813,13,33.413168
36.842668,64,33.523094
16.363883,10,33.573524
32.759219,21,33.636998
9.894812,6,33.684186
35.914369,58,33.787612
19.486067,12,33.840838
26.064796,16,33.898439
27.125854,17,33.956735
13.193335,8,34.004412
36.699144,26,34.072444
19.824984,12,34.126484
16.590551,10,34.176486
20.57692,13,34.232411
21.22878,13,34.286513
27.770549,17,34.344517
18.092321,11,34.395922
11.583083,7,34.443727
16.30534,10,34.493932
17.925381,11,34.546534
13.177469,8,34.595354
16.063554,10,34.646537
30.022066,19,34.707536
11.452402,7,34.758533
22.697019,14,34.81262
14.790289,9,34.862624
25.996878,16,34.92162
14.651286,9,34.97162
21.264496,13,35.025867
29.354459,18,35.084867
19.662296,12,35.139864
35.303555,22,35.202794
14.869356,9,35.252796
23.489381,15,35.309415
13.105565,8,35.357739
32.202226,21,35.420666
20.564816,13,35.475107
14.611747,9,35.524924
11.453167,7,35.572825
28.349155,17,35.630824
17.85656,11,35.683213
23.256848,14,35.738779
18.131263,11,35.790542
18.127688,11,35.842911
36.046,24,35.908285
35.171449,24,35.973739
22.695871,14,36.029134
11.526142,7,36.07665
17.936508,11,36.128772
32.382239,39,36.212378
13.284977,8,36.261692
14.935579,9,36.312033
29.193381,20,36.372631
12.989854,8,36.42122
28.820275,18,36.480551
11.513741,7,36.528566
13.34912,8,36.577183
19.384033,12,36.631099
33.622921,30,36.703188
23.165001,14,36.758188
11.524861,7,37.930171
15.018345,9,37.982419
14.826503,9,38.034527
30.191808,40,38.12719
23.078004,14,38.182958
32.868295,20,38.274878
19.914808,12,38.327628
27.811211,17,38.451504
14.877538,9,38.52361
21.577333,13,38.592527
13.021784,8,38.650661
11.520768,7,38.708853
28.605565,18,38.782375
9.84129,6,38.836394
28.190764,18,38.90013
14.674471,9,38.952478
13.081977,8,39.001557
13.073709,8,39.04956
11.361818,7,39.097481
13.189517,8,39.146565
16.381699,10,39.198631
26.456921,16,39.256628
21.362272,13,39.31063
17.875088,11,39.362628
18.07916,11,39.424121
21.356238,13,39.494044
18.066946,11,39.549869
13.085111,8,39.598938
8.212417,5,39.644939
11.545211,7,39.695865
25.22352,16,39.752938
40.460133,27,39.820864
23.672755,14,39.876751
17.682693,11,39.928679
36.616645,35,40.006681
16.265324,10,40.057679
16.313955,10,40.108313
23.738313,15,40.164492
29.994392,19,40.225315
19.35887,12,40.278566
44.804034,29,40.348984
23.889361,15,40.415884
26.042115,16,40.515645
13.093578,8,40.576175
24.97328,15,40.640406
24.764507,15,40.701612
14.477103,9,40.751619
14.987635,9,40.800632
49.20886,32,40.874631
25.671057,16,40.932546
17.87806,11,40.984071
16.251022,10,41.034837
27.570134,18,41.093959
30.369842,19,41.154757
38.908539,58,41.26077
13.076487,8,41.30884
18.165463,11,41.360769
39.118488,34,41.444074
26.309148,16,41.501147
23.213228,14,41.555074
33.522734,42,41.643149
18.241992,11,41.695145
11.600495,7,41.742073
29.040058,18,41.801433
28.578635,17,41.861267
21.599969,13,41.916429
25.378364,16,41.973428
23.711712,14,42.028428
33.573102,21,42.091355
16.262279,10,42.142357
13.018506,8,42.197354
17.942791,11,42.260039
18.151624,11,42.317036
35.839273,21,42.395141
16.313193,10,42.448476
32.476687,21,42.512755
27.669637,17,42.57011
34.623597,22,42.634854
19.676084,12,42.687535
20.820398,13,42.742193
11.499536,7,42.790186
29.055143,18,42.850494
20.057163,12,42.903491
9.870784,6,42.950421
29.049065,19,43.01042
11.561825,7,43.05842
23.03552,15,43.113492
13.140451,8,43.16249
14.990599,9,43.212489
13.163973,8,43.260419
24.936815,15,43.31949
19.49374,12,43.37349
9.82655,6,43.434487
33.258599,21,43.497415
22.891362,14,43.552415
16.183931,10,43.603417
16.239422,10,43.655414
21.83237,13,43.710538
32.255425,22,43.773054
17.885605,11,43.82505
25.21025,16,43.882454
27.154639,17,43.941379
16.249288,10,43.992378
13.091292,8,44.040378
30.71684,19,44.100451
17.779484,11,44.15238
13.086222,8,44.200458
21.431006,13,44.255377
19.166083,12,44.319537
16.540217,10,44.3707
24.722658,15,44.428901
21.089474,13,44.483901
18.050539,11,44.537207
19.674586,12,44.589571
16.498873,10,44.640192
19.780078,12,44.693436
21.928392,14,44.749952
20.997685,13,44.80358
22.830555,14,44.858581
27.958547,18,44.917579
38.023941,24,44.985508
14.486055,9,45.035509
19.903192,12,45.094508
22.490666,14,45.154505
17.857237,11,45.206582
23.18522,14,45.264504
9.863593,6,45.310507
39.558737,25,45.376967
27.563296,17,45.435804
14.737108,9,45.484728
16.434151,10,45.535731
21.43067,13,45.589728
16.218941,10,45.642017
16.326916,10,45.693016
14.750789,9,45.742388
23.027953,14,45.797284
16.219277,10,45.849211
16.277377,10,45.900219
19.163162,12,45.952211
13.077694,8,46.001208
18.246455,11,46.054281
21.724775,13,46.107281
11.466302,7,46.155285
28.399733,19,46.215737
29.090224,18,46.274686
11.583176,7,46.322758
29.665438,19,46.382619
26.389968,16,47.546492
19.650905,12,47.603103
40.770431,26,47.676208
19.289974,12,47.733132
35.785667,59,47.837192
34.433725,23,47.901441
19.822755,12,47.954708
16.210824,10,48.005429
9.85618,6,48.051681
13.288561,8,48.101225
19.580859,12,48.154762
37.164771,40,48.697483
17.769245,11,48.841259
11.288739,7,48.897296
14.630165,9,48.960405
14.818941,9,49.022256
11.56759,7,49.078629
24.84745,15,49.148268
32.311846,20,49.214944
13.115984,8,49.270941
34.181052,21,49.332894
14.77375,9,49.382683
11.450154,7,49.452785
18.111104,11,49.512469
17.866567,11,49.565158
18.040559,11,49.616225
32.161265,21,49.678154
25.034456,15,49.742345
40.121592,26,49.826434
24.758645,15,49.894829
33.909668,22,49.960391
11.390357,7,50.008626
23.905344,15,50.063655
14.817187,9,50.113584
23.509098,14,50.179898
39.004819,31,50.278298
21.153467,13,50.334884
24.249335,15,50.406798
13.041973,8,50.486553
9.864964,6,50.544952
16.461297,10,50.603707
13.168507,8,50.652231
30.803028,19,50.712785
23.981517,15,50.768271
17.93685,11,50.827409
21.850285,14,50.88233
11.590032,7,50.929948
9.875095,6,50.97729
38.572029,41,51.060287
20.4994,13,51.114355
29.65151,18,51.173374
22.657904,14,51.228923
28.747352,19,51.290074
11.507014,7,51.33772
14.7273,9,51.396067
38.825584,26,51.467305
24.540321,15,51.594416
26.059433,16,51.657821
36.014208,23,51.722325
13.153643,8,51.770855
37.297169,24,51.838852
32.589887,22,51.902111
19.760253,12,51.955038
14.630767,9,52.005108
28.504704,17,52.062108
34.625459,21,52.124729
16.18914,10,52.175655
14.787996,9,52.225658
25.291118,16,52.282384
11.419641,7,52.329553
16.316769,10,52.383765
26.938625,17,52.441736
14.917032,9,52.491666
40.198215,26,52.558662
28.353131,17,52.616906
30.042263,19,52.676467
58.035799,87,52.811436
16.509341,10,52.861903
36.565816,23,52.927297
